Model,OverallAccuracy,SteadyStateAccuracy,TransitionAccuracy
LDA,69.9510514865845,70.7692307692308,63.1490080202617
SVM,72.0902828136331,72.6021832952526,67.8345293372731
RF,75.1087744742567,77.5882203604976,54.4955677501055
DBN,71.5962654097172,72.5006346788525,64.0776699029126
