feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.288332,0.222514,0.831986,0.380558,-0.894151,0.139557,-0.330533,0.413911,0.119510,0.140574,-0.430418,0.692964,-0.236124,0.203806,0.435304,0.636819,-0.638058,0.166480,-1.707518,0.137474,0.293003,0.188530,0.228321,0.220668,0.412402,0.084800,0.061014,0.441880,-0.514157,-0.724085,0.302694,0.170264,0.380039,0.120053,-0.974931,0.412402,0.217904,0.174174,0.901649,-0.083047,0.194576,-0.665729,0.395067,-0.439721,0.309860,1.545016,0.590249,0.085857,-0.462921,-0.299617,-0.079958,0.426849,-0.420560,-0.620355,-0.323012,0.823248,0.208518,0.703837,0.737893,1.258688,0.429721,-0.490899,0.255088,0.088131,0.156111,0.326374,0.661283,0.245622,0.320521,0.300278
0.360199,0.384776,0.565123,0.310616,-1.417583,-0.113208,-0.576017,0.460396,-0.314299,0.261043,-0.506018,0.487621,-0.386505,0.405276,0.409469,1.349936,-0.552044,0.169298,-2.293524,0.312911,0.317057,0.347466,0.382080,0.400913,0.467502,0.127718,0.092939,0.146728,-1.079649,0.004811,-0.039025,-0.237371,0.375072,0.682501,-2.552644,0.150587,0.068346,0.293836,0.895135,-0.372596,0.230762,-0.178274,0.559854,-1.666972,0.405530,1.218678,0.656467,0.098620,-1.019963,-0.952277,-0.170591,0.564224,-0.525848,-1.080829,-0.428598,0.613648,0.251381,0.509214,0.871340,2.763935,0.204165,-0.490899,0.340794,0.229302,0.250379,0.047186,0.529346,0.227119,0.262750,0.360083
0.365038,0.257360,0.402567,0.459587,-1.282413,-0.214254,-0.165109,0.160946,-0.240974,0.384904,0.365871,1.024711,-0.620437,0.293180,0.609675,1.018919,-0.401670,0.027394,-2.323447,0.523557,0.557672,0.262575,0.892379,-0.066949,0.445233,0.036337,0.027695,0.327384,-0.443864,0.022938,0.157018,0.506884,0.248529,-0.011903,-2.626592,-0.154794,0.034259,0.115810,0.679579,0.036734,0.274731,0.262196,0.218446,0.304440,0.106365,1.544751,0.533424,0.005441,-0.966285,-0.952277,-0.170591,0.217532,-0.394701,-1.076870,-0.051575,0.148364,0.250574,2.207817,0.871340,2.830911,0.086479,-0.199124,0.075925,0.189853,0.229403,-0.252839,1.138448,0.334861,0.074780,0.331882
0.514851,0.701359,1.081694,0.530513,-0.866491,1.252009,-1.124030,1.184805,-0.815359,0.573802,-2.684327,1.024711,-1.037324,0.232862,0.614752,0.649904,-0.746870,0.205055,-1.770777,0.439855,0.556860,0.435567,1.212886,0.363184,0.886857,0.053462,0.123845,0.513830,-0.423565,-0.853939,0.997609,0.001423,0.576645,0.286262,-1.600318,0.322584,0.483471,0.208829,0.679579,-0.708355,0.305725,-0.256400,0.882014,-0.069547,0.276995,1.594418,0.790114,0.193688,-0.718057,-0.515372,-0.056902,0.520761,-0.699139,-0.800244,-0.268578,0.148364,0.491279,2.207817,1.311445,1.851148,0.255652,-0.548382,0.101847,0.354762,0.251254,0.008473,1.138448,0.374318,0.167003,0.302382
0.593634,0.656670,1.081694,0.601265,-0.870980,1.252009,-1.124030,1.022754,-0.815359,0.628835,-2.684327,0.951762,-1.578194,0.333202,0.902376,0.639718,-0.991952,0.293166,-2.286091,0.323234,0.646510,0.510187,0.986540,0.363184,0.886857,0.077143,0.153306,0.805717,-0.491445,-1.440904,0.997609,0.001423,0.618738,0.286262,-2.548507,0.193154,0.717685,0.203176,0.897384,-0.708355,0.319974,-0.498978,0.657653,-0.267196,0.355263,1.594418,0.790114,0.209719,-0.718057,-0.313952,-0.302024,0.521534,-0.814683,-0.800244,-0.268578,1.004583,0.691838,2.041974,1.311445,2.748472,0.742318,-0.757039,0.145962,0.306300,0.300797,0.008473,1.277980,0.288236,0.628811,0.325474
0.627344,0.764488,1.192942,0.533683,-1.380559,0.720151,-0.506471,0.302401,-0.663890,0.613813,-0.019986,0.208106,-0.902782,0.496892,0.553054,1.507280,-0.991952,0.405848,-1.037805,0.317756,0.395649,0.456579,0.453990,1.054533,0.610288,0.303131,0.307623,0.468733,-2.055186,-1.357585,0.504614,-1.500903,0.624537,2.267418,0.019157,-0.254936,0.349990,0.443483,1.329969,-1.325623,0.466428,-0.354481,0.533880,-1.308548,0.467552,1.213202,0.868883,0.281915,-1.016073,-1.344347,-1.688377,1.224968,-1.075300,-1.084152,-0.988725,1.004583,0.214950,1.334083,2.875010,0.210224,0.623982,-0.878352,0.315116,0.321134,0.621776,1.595046,1.277980,0.395163,0.659485,0.561444
0.441294,0.484023,0.311811,0.572616,-1.106806,-0.173429,-0.506471,0.263351,-0.645673,0.494928,0.085020,0.928460,-1.067655,0.354252,0.456802,0.900072,-0.559674,0.158049,-2.290881,0.519680,0.690669,0.326407,0.634655,0.265250,0.273142,0.052889,0.082778,0.393488,-1.398788,-0.197570,0.057430,0.179699,0.547341,0.138747,-1.995084,-0.184382,0.079389,0.193844,1.329969,-0.173146,0.330325,-0.234447,0.499853,-0.836869,0.253777,1.213202,0.832092,0.046661,-1.016073,-1.344347,-1.688377,1.224968,-0.692959,-1.084152,-0.488425,0.201531,0.351575,1.490390,1.085601,2.431380,0.161518,-0.878352,0.249978,0.317519,0.490392,0.905145,1.117283,0.454278,0.132745,0.343074
0.539148,0.571735,0.985977,0.586039,-0.832626,1.305046,-0.912648,1.096835,-0.796506,0.588448,-2.831576,0.928899,-0.821162,0.245062,0.351615,0.646708,-1.124996,0.250820,-1.561147,0.585780,0.647361,0.422483,0.604538,0.386062,1.254363,0.096616,0.129795,0.527853,-0.362167,-0.932941,0.873177,-0.221740,0.490244,0.754409,-0.796603,0.515207,0.511540,0.248006,0.696701,-0.624777,0.322169,-0.547607,0.950007,0.103134,0.398650,0.894140,0.858160,0.175531,-1.118604,-0.652760,-0.608112,0.556267,-0.803636,-0.952095,-0.525664,0.294142,0.545983,1.490390,1.509112,1.224066,0.288888,-0.807036,0.119948,0.279348,0.396153,0.345022,1.117283,0.451261,0.188590,0.280143
0.628607,0.590095,0.985977,0.571041,-1.101576,1.305046,-0.912648,0.978999,-0.796506,0.593906,-2.831576,0.926987,-0.543520,0.273675,0.456175,0.702853,-1.166006,0.278450,-2.222775,0.414849,0.597313,0.491942,0.608199,0.386062,1.254363,0.138336,0.219514,0.735685,-0.614927,-1.284105,0.873177,-0.221740,0.564839,0.754409,-2.100835,0.207759,0.770301,0.269762,0.845687,-0.624777,0.340432,-0.675332,0.646868,-0.097796,0.520172,1.343612,0.858160,0.214546,-1.118604,-0.684812,-0.608112,0.556267,-0.963534,-0.952095,-0.572646,1.240100,0.788271,1.346333,1.509112,2.435900,0.845541,-0.807036,0.201212,0.281461,0.455002,0.345022,1.016146,0.392693,0.661819,0.340989
0.603847,0.710445,0.864387,0.490433,-1.552007,0.543089,-0.598637,0.336790,-0.812671,0.573544,-0.258981,0.294617,-0.812728,0.468160,0.519628,1.722747,-1.040254,0.476251,-1.571630,0.311960,0.403113,0.458666,0.589460,0.623464,0.469752,0.293305,0.241542,0.393111,-2.342557,-1.079332,0.140102,-2.008641,0.652610,1.850699,-0.360495,0.197482,0.329219,0.395680,1.883734,-1.630453,0.346062,-0.633106,0.733830,-3.154422,0.609991,1.343612,0.979215,0.289387,-1.185873,-1.413707,-1.808915,1.695134,-1.010264,-1.098939,-1.380885,1.240100,0.290458,2.194288,2.003377,0.909012,0.695642,-1.542864,0.408342,0.409219,0.550719,2.608310,1.016146,0.359981,0.644583,0.571443
