feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.393546,0.128490,0.506894,0.456681,-0.955271,0.140210,-0.569124,0.272234,0.275819,0.082468,0.044990,0.799259,0.226394,0.199100,0.201410,0.620361,-0.661822,0.125837,-1.574841,0.162709,0.378452,0.312680,0.342641,0.271933,0.123277,0.168635,0.091823,0.551284,-0.684013,-0.765035,0.260759,0.232200,0.333841,0.346016,-1.313020,-0.085666,0.224012,0.178597,0.749902,-0.168216,0.258969,-0.186739,0.165427,-0.117214,0.170741,1.165155,0.856469,0.203161,-0.404534,-0.649418,0.073789,0.297205,-0.396916,-0.554848,-0.539457,0.515829,0.343949,0.600260,0.554100,1.536187,0.291432,-0.855133,0.618420,0.098991,0.090913,0.195764,0.600104,0.233195,0.421037,0.241906
0.495330,0.367747,0.469980,0.380076,-1.328150,0.138761,-0.911261,0.226877,-0.298018,0.350576,-0.253885,0.799259,-0.202774,0.342133,0.250925,0.924525,-0.473393,0.086418,-1.633897,0.215968,0.362478,0.264526,0.359946,0.271933,0.226801,0.221728,0.098955,0.135563,-0.684013,0.343112,0.187492,0.099755,0.328216,0.568583,-1.332265,-0.823308,0.114235,0.237415,0.643901,-0.535476,0.277160,0.493219,0.347884,-0.518098,0.236410,0.734210,0.739696,0.182273,-0.566652,-0.790175,-0.237941,0.442126,-0.396916,-0.705297,-0.566580,0.464595,0.168281,0.643932,0.880714,1.569255,0.441855,-0.752958,0.645766,0.476367,0.200260,0.400099,1.060109,0.316771,0.224329,0.263098
0.515264,0.283724,0.743308,0.581340,-1.004269,-0.211176,-0.402756,0.207352,0.175571,0.229492,0.198950,1.091496,-0.202774,0.124678,0.249342,0.798307,-0.389654,0.026707,-1.360584,0.562828,0.538285,0.184615,0.378493,-0.182383,0.736997,0.139001,0.022760,0.202654,-0.462067,0.473810,0.303904,0.452017,0.221803,-0.086590,-1.274289,0.736200,0.043802,0.072650,0.592742,0.142766,0.164265,-1.598756,0.121817,0.036104,0.080853,0.763973,0.678550,0.017168,-0.547044,-0.428958,0.155385,0.112675,-0.308183,0.010030,-0.166940,0.053752,0.788508,0.441434,0.657061,1.407513,0.193761,-0.548069,0.313299,0.254410,0.101396,-0.357091,1.060109,0.362603,0.056378,0.237612
0.680063,1.068207,1.489879,0.446949,-1.182462,0.866431,-0.842219,0.899529,-0.691388,0.452143,-1.564356,1.091496,-0.487249,0.206785,0.554358,0.833746,-0.503318,0.130716,-1.673151,0.452397,0.495759,0.224486,0.486966,0.324231,0.736997,0.158288,0.103245,0.370404,-0.853674,-0.451555,0.315937,0.022549,0.795628,0.474042,-1.700768,0.229533,0.345010,0.242372,0.597492,-1.359823,0.283508,-2.120800,0.827544,-0.120001,0.150099,2.020786,1.050017,0.343307,-0.691320,-0.852767,-0.070607,0.080684,-0.543205,-0.663865,-1.046727,0.092831,0.766666,0.441434,1.298181,1.797739,0.556550,-0.412693,0.313299,0.426727,0.238738,0.010251,0.885562,0.399620,0.160049,0.252973
0.636565,0.819771,0.704386,0.651647,-0.798347,0.866431,-0.842219,0.730512,-0.609779,0.514261,-1.564356,0.904659,-0.871638,0.460930,0.676264,0.597198,-0.951181,0.224878,-1.854376,0.334457,0.548556,0.427572,0.467992,0.324231,0.395950,0.141988,0.120003,0.894257,-0.853674,-1.518415,0.315937,0.022549,0.802575,0.474042,-1.856782,-0.314426,0.561346,0.239641,0.834603,-1.359823,0.364501,-2.120800,0.488402,-0.120001,0.161106,2.020786,1.050017,0.365093,-0.686408,-0.903566,-0.070607,1.074293,-0.543205,-0.663865,-1.046727,0.923611,1.283074,0.376009,1.298181,2.014348,0.925051,-0.844581,0.463424,0.370318,0.267231,0.010251,1.203688,0.328979,0.666478,0.266541
0.645847,0.751748,0.722139,0.483764,-1.518039,0.389279,-1.370022,0.210351,-0.907130,0.516284,-0.096738,0.531799,-1.093459,0.358837,0.528833,1.583060,-0.950473,0.230116,-1.802635,0.384953,0.367431,0.471682,0.550443,0.895897,0.243546,0.310803,0.328907,0.605449,-1.259359,-1.435823,0.506901,-0.847239,0.516655,0.870540,-1.607339,-0.165859,0.324024,0.472531,0.857350,-0.845148,0.342188,1.065196,0.226734,-0.705613,0.214285,1.536218,0.871945,0.475913,-1.293904,-1.057607,-1.152643,1.074293,-0.825848,-1.022873,-0.832801,0.923611,0.316825,2.020878,1.145331,1.858866,0.923709,-0.844581,2.020507,0.538427,0.257783,0.933805,1.167759,0.439321,0.676804,0.485513
0.592967,0.596028,0.389765,0.634044,-1.404026,-0.185093,-1.370022,0.345871,-0.481313,0.309896,-0.096738,1.096895,-1.093459,0.336096,0.536611,1.248611,-0.479545,0.078266,-1.278925,0.508944,0.682356,0.259778,0.539903,0.535472,0.224302,0.133364,0.056521,0.304308,-1.001936,0.243422,0.474477,0.087330,0.581686,0.546398,-0.914622,-0.472315,0.057597,0.224614,0.829386,-0.641354,0.393255,-0.611503,0.233759,-0.329676,0.088208,0.792581,0.843486,0.099368,-0.682003,-1.057607,0.044399,0.157618,-0.727569,-1.022873,-0.237044,0.067113,0.560048,0.809395,0.719550,1.089273,0.308254,-0.488453,0.515808,0.415360,0.132306,-0.165484,1.077340,0.319222,0.081249,0.235050
0.717874,0.560621,0.745666,0.511304,-0.771802,0.992112,-1.213893,0.800249,-0.669595,0.449198,-1.500675,1.096895,-0.530925,0.302331,0.342447,0.634333,-1.003582,0.131805,-1.578464,0.405296,0.562480,0.205561,0.555292,0.370406,0.565395,0.164135,0.128766,0.540533,-0.870680,-0.745101,1.091562,0.034494,0.495651,0.708124,-1.342686,0.206159,0.446796,0.249523,0.590809,-1.231774,0.359847,-1.297901,0.716602,-0.167514,0.176785,0.792581,1.033321,0.336346,-0.856419,-0.687879,-0.179784,0.268663,-0.656443,-0.651412,-0.698196,0.341695,0.602631,0.391649,1.068706,1.546792,0.258483,-0.540647,0.646928,0.431959,0.235050,0.336935,1.077340,0.352850,0.162958,0.225608
0.609377,0.530425,0.641852,0.562843,-0.758266,0.992112,-1.213893,0.715121,-0.669595,0.402821,-1.500675,0.889628,-0.530925,0.427772,0.214947,0.627115,-1.006702,0.195821,-1.838748,0.255198,0.447173,0.392132,0.583629,0.370406,0.649504,0.207624,0.172784,0.657846,-0.870680,-1.168371,1.091562,0.034494,0.440121,0.708124,-1.745214,-0.368401,0.635929,0.242808,0.805315,-1.231774,0.450616,-1.297901,0.504517,-0.167514,0.238882,0.679015,1.033321,0.337569,-0.856419,-1.213160,-0.179784,1.036836,-0.656443,-0.651412,-0.698196,0.811376,0.929961,0.549295,1.068706,1.991944,0.388838,-0.940220,0.662500,0.247649,0.244811,0.336935,1.009542,0.356324,0.655878,0.299620
0.578421,0.653981,1.473304,0.436135,-1.655180,0.393609,-0.940765,0.237336,-0.777390,0.429859,0.038433,0.463078,-0.442721,0.404282,0.462784,1.956457,-0.883572,0.170389,-1.976074,0.318890,0.343886,0.330856,0.513507,0.641780,0.249017,0.297023,0.207180,0.356012,-0.874555,-0.970105,0.500043,-0.314483,0.519506,1.247322,-2.020913,-0.435568,0.252273,0.368261,0.802315,-0.622425,0.383511,1.059069,0.240110,-0.750994,0.221829,1.299394,0.834464,0.327673,-0.977791,-1.213160,-0.928160,0.999621,-0.735170,-0.522713,-0.754875,0.811376,0.199361,1.208936,0.829412,2.210482,0.320257,-2.465405,0.753451,0.365294,0.256085,0.487601,0.902747,0.403168,0.567702,0.417743
