feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.169865,0.135026,0.574749,0.271132,-0.983302,-0.231682,-0.621932,0.188633,-0.035130,0.117932,0.894855,0.769974,-0.086712,0.381505,0.381346,0.465857,-0.596676,0.096112,-1.451748,0.190090,0.148952,0.171259,0.433476,-0.015132,0.482613,0.161849,0.056721,0.173665,-0.009573,-0.050429,0.620988,0.240960,0.269202,0.103979,-1.421778,0.036503,0.095627,0.135981,0.612888,-0.089721,0.091359,-1.791404,0.159714,0.252843,0.054537,1.561794,0.626832,0.076167,-0.503494,0.197914,-0.035381,0.541627,-0.172690,-0.227615,-0.297159,0.334922,0.188790,0.541289,0.221635,1.502083,0.160287,-0.111572,0.182800,0.177944,0.059096,0.523483,0.407103,0.052090,0.229042,0.105724
0.382178,0.253921,0.960115,0.285386,-1.773758,0.293491,-0.701154,0.553438,-0.548286,0.298218,-0.374832,0.413469,-0.456201,0.285610,0.269108,1.717111,-0.544573,0.234175,-1.446896,0.164181,0.284332,0.486622,0.524994,0.504167,0.508956,0.284867,0.164137,0.117737,-0.915145,0.022816,0.649489,-0.485312,0.502386,1.389736,-1.470544,0.416391,0.210322,0.280543,0.775423,-1.168694,0.429192,-1.704608,0.257583,-0.810048,0.302897,0.670810,0.766077,0.182127,-0.783727,-1.598207,-0.396006,0.781401,-0.502163,-1.360465,-0.442724,0.189519,0.154343,0.845694,0.422559,1.497931,0.158025,-0.502796,0.478785,0.198827,0.133957,0.401044,0.469337,0.082884,0.236930,0.204636
0.464877,0.764717,0.732519,0.418910,-1.783690,-0.385561,-0.506085,0.400929,-0.344552,0.383504,-0.361897,0.862157,-0.456201,0.494035,0.476888,2.014797,-0.486760,0.093269,-1.456452,0.329289,0.720502,0.356731,0.698734,0.256362,0.421786,0.176657,0.045941,0.246594,-0.271190,0.022816,0.861197,0.229652,0.542498,-0.132723,-1.392996,-0.345271,0.026868,0.154858,0.775423,-0.238426,0.573865,-1.633411,0.348917,0.186991,0.067866,1.604860,0.766077,0.035855,-0.783727,-1.598207,-0.343160,0.756912,-0.352871,-1.176612,-0.250856,0.073929,0.756505,0.843057,0.322124,1.466534,0.038173,0.044096,0.017873,0.417940,0.112269,0.401044,1.063732,0.085672,0.094733,0.187274
0.598600,0.762786,0.411535,0.527249,-1.088978,1.173791,-1.676865,0.824578,-1.440837,0.637780,-1.421834,0.920552,-1.424815,0.639086,0.802462,0.558692,-0.854546,0.284790,-1.815364,0.385445,0.670709,0.409937,0.780651,0.281329,0.930652,0.168618,0.203761,0.505401,-0.213059,-0.990516,1.228738,-0.450103,0.643559,0.682145,-1.438576,0.514652,0.508528,0.276183,0.529255,-1.302469,0.577312,-0.728440,0.790678,0.157854,0.259944,1.502578,1.129837,0.275152,-1.122722,-1.301256,-0.313163,0.560085,-0.771282,-1.218666,-0.316376,0.048612,0.315796,0.869922,1.923970,1.793250,0.227519,-0.607681,0.025452,0.479380,0.325657,1.306256,1.014148,0.154467,0.194643,0.212981
0.661814,0.653904,0.411535,0.681254,-0.854118,1.173791,-1.676865,0.876547,-1.440837,0.721631,-1.421834,0.878756,-1.869603,0.695354,0.715887,0.388594,-1.076958,0.351269,-1.558040,0.484798,0.537516,0.624984,0.840516,0.281329,0.930652,0.175372,0.232589,0.849630,-0.355230,-1.597231,1.228738,-0.450103,0.868827,0.682145,-1.086477,-0.605125,0.682983,0.286895,0.923316,-1.302469,0.752348,-0.654895,0.693052,0.091900,0.323878,1.327807,1.129837,0.288038,-1.122722,-1.376929,-0.522423,0.780991,-0.771282,-1.218666,-0.378870,0.777478,0.286620,1.937270,1.923970,1.249938,0.671382,-0.607681,0.060386,0.491260,0.404455,1.306256,1.022469,0.271184,0.706882,0.250722
0.656483,1.007421,1.011605,0.626448,-1.720551,0.418344,-1.103534,0.483429,-1.143165,0.674008,-0.297920,0.241407,-1.498751,0.573325,0.617474,2.718188,-1.076958,0.621880,-1.504946,0.429803,0.487273,0.890615,0.776232,1.318817,0.750252,0.388286,0.474006,0.499948,-2.268259,-1.448647,1.576943,-2.356859,0.823727,2.187472,-1.442064,0.023184,0.331237,0.610638,1.902976,-1.489107,0.774752,-2.653630,0.284309,-2.163731,0.495013,1.721192,0.984316,0.425259,-1.593165,-2.852412,-2.417773,1.779206,-0.936573,-1.382540,-2.022194,0.777478,0.987915,2.284757,3.884219,1.519704,0.547931,-1.149446,1.968805,0.804383,0.701728,1.298093,1.022469,0.457090,0.691403,0.526422
0.512678,0.805660,0.180436,0.507757,-1.400900,0.418344,-1.721375,0.481631,-1.104922,0.462072,-0.297920,0.903714,-0.497146,0.467924,0.567323,1.339510,-0.645922,0.278710,-1.256236,0.302718,0.854603,0.444676,0.689373,1.318817,0.770845,0.198925,0.139552,0.311743,-2.268259,-0.064827,1.576943,-0.727156,0.791252,2.187472,-1.206315,0.637303,0.124725,0.408198,1.902976,-1.489107,0.576902,-2.653630,0.396950,-2.163731,0.323102,1.687628,0.984316,0.208766,-1.172381,-2.852412,-1.714207,1.779206,-0.897769,-1.382540,-1.208310,0.122340,0.653415,1.339957,0.768322,1.159448,0.222672,-1.149446,0.134071,0.880153,0.354067,1.298093,1.326783,0.176220,0.138008,0.207552
0.591158,0.493954,0.366254,0.512094,-1.245558,1.325517,-1.607001,0.701993,-0.893603,0.605354,-0.876664,0.904510,-0.997896,0.506927,0.616258,0.568968,-1.182576,0.302496,-1.737652,0.357457,0.684021,0.361084,0.692859,0.167640,0.921932,0.223201,0.184751,0.617741,-0.373612,-1.142572,1.115393,-0.363061,0.496397,1.367889,-1.619384,0.435216,0.582908,0.257712,0.754988,-1.169457,0.352033,-1.732999,0.749375,0.119352,0.198770,1.687628,1.049079,0.243876,-1.142935,-0.476309,-0.234291,1.443320,-0.720552,-1.129627,-0.377573,0.314450,0.287320,1.238832,1.646674,1.731219,0.298124,-0.792673,0.152879,0.696818,0.315662,1.492728,1.326783,0.162925,0.266443,0.167427
0.560982,0.489421,0.403441,0.449781,-1.091371,1.325517,-2.012911,0.663400,-0.849314,0.455229,-0.876664,0.770176,-0.997896,0.487892,0.546488,0.460541,-1.182576,0.316539,-1.598812,0.399106,0.420671,0.487374,0.662023,0.167640,1.107183,0.276731,0.278847,0.599392,-0.373612,-1.207699,1.115393,-0.363061,0.607964,1.367889,-1.160675,0.098972,0.702523,0.311676,0.755654,-1.169457,0.581608,-1.433020,0.494390,0.119352,0.259714,1.025071,1.049079,0.270818,-1.142935,-0.995190,-0.437172,1.443320,-0.720552,-1.129627,-0.562258,0.746060,0.286509,1.238832,1.646674,1.403834,0.686285,-0.792673,0.152879,0.857593,0.406668,1.492728,0.951971,0.283765,0.636191,0.306833
0.496292,0.724723,0.995019,0.260600,-1.824728,0.156151,-1.735801,0.376371,-0.712002,0.318849,-0.024141,0.297744,-2.164139,0.440552,0.743240,3.240958,-0.993990,0.544561,-1.469442,0.423729,0.460678,0.641919,0.747448,0.994098,0.556768,0.413959,0.343031,0.115740,-2.138837,-0.208780,0.955758,-2.625646,0.604973,2.259758,-1.370155,-0.135146,0.238267,0.356408,1.318502,-1.018188,0.521000,-1.494728,0.364106,-1.928858,0.588826,1.255309,0.816247,0.298722,-1.133296,-0.995190,-2.540260,1.970818,-0.791054,-1.374445,-1.420358,0.335154,0.228610,2.081134,3.471052,1.507554,0.484509,-0.552502,1.228467,0.722501,0.612756,2.122757,0.584121,0.405467,0.387324,0.406501
