feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.230358,0.067035,0.301944,0.429824,-1.351677,0.076521,-0.407644,0.209469,0.319608,0.048018,0.257710,0.618746,0.147622,0.134112,0.063839,1.007853,-0.541879,0.082337,-1.524658,0.173422,0.131723,0.343745,0.179707,-0.252496,0.423799,0.070001,0.083540,0.497870,-0.155140,-0.738290,0.221659,0.569781,0.103262,0.101857,-1.238176,-0.146455,0.163668,0.082775,0.837852,-0.056948,0.148068,-1.225197,0.149758,-0.497863,0.102036,0.416124,0.474755,0.065671,-0.540461,-0.275825,-0.203101,0.378597,-0.027489,0.145371,-0.301369,0.382509,0.129518,0.120983,0.151847,1.294616,0.302746,-0.622476,0.149539,0.141301,0.081202,0.315569,0.497867,0.090410,0.258374,0.140280
0.422550,0.278593,0.320766,0.348758,-1.728002,0.237927,-0.736803,0.270089,-0.093596,0.221331,-0.026241,0.618746,-0.472485,0.368312,0.323367,1.889814,-0.371883,0.107722,-1.184066,0.337311,0.160432,0.385439,0.192065,0.006986,0.531814,0.098814,0.156131,0.173795,-0.169461,0.085755,0.878299,0.136927,0.242036,0.396904,-0.072710,-0.333867,0.116645,0.156462,0.831230,-0.350307,0.318781,-1.107928,0.533902,-0.771186,0.130981,0.941518,0.620175,0.085548,-0.604943,-0.415571,-0.220816,0.541945,0.002162,-0.918662,-0.320820,0.011478,0.266655,0.175281,0.451344,0.432183,0.090285,-0.567321,0.430862,0.414801,0.125532,0.928571,0.716394,0.107967,0.102694,0.132587
0.350596,0.187004,0.264299,0.493257,-1.546221,-0.206887,-0.438727,0.201515,0.064618,0.188905,0.726791,0.935831,-0.457178,0.431223,0.225975,1.515928,-0.312243,0.015833,-1.894767,0.365949,0.101199,0.294229,0.193219,-0.027101,0.536162,0.037999,0.015020,0.237433,0.060487,0.268576,0.566412,0.642401,0.153746,-0.026880,-1.336726,0.536162,0.022116,0.065531,0.728140,0.043212,0.058748,-0.473491,0.113428,-0.337416,0.029228,0.553376,0.509602,0.002951,-0.313854,0.267953,0.063487,0.287303,0.064013,0.228371,-0.055841,0.021726,0.091185,0.206908,0.284515,1.551797,0.060726,-0.160767,0.070072,0.264601,0.048697,0.166284,0.779895,0.152322,0.067720,0.108425
0.490624,0.573989,0.926218,0.434642,-1.339128,0.961392,-0.643177,1.003404,-0.406264,0.364889,-1.160274,0.935831,0.002850,0.393572,0.341295,0.951249,-0.507926,0.151796,-1.180510,0.384937,0.140749,0.187546,0.239654,-0.151568,0.729237,0.056883,0.143321,0.544613,-0.142970,-1.115073,0.440153,0.137779,0.453971,0.133074,-0.737661,0.201312,0.382253,0.075116,0.802237,-0.647112,0.456772,-1.542055,0.994612,-0.369197,0.285422,1.115155,0.785695,0.138516,-0.471639,-0.978885,-0.306784,0.488023,-0.326871,-0.279988,-0.348319,-0.012812,0.541628,0.171695,0.982890,0.704761,0.140460,-0.213148,0.070072,0.363075,0.201880,0.668952,0.892445,0.168498,0.132336,0.119846
0.518898,0.373384,0.173724,0.551628,-1.318619,0.961392,-0.643177,0.772691,-0.406264,0.268575,-1.160274,0.540310,-0.488857,0.480589,0.400979,0.845206,-0.988451,0.265444,-1.424408,0.166545,0.208782,0.330042,0.256699,-0.090937,0.505518,0.091006,0.181580,0.809605,-0.374059,-1.989650,0.238785,0.137779,0.465836,0.133074,-0.788049,-0.250763,0.553244,0.106062,1.058351,-0.647112,0.381582,-1.726300,0.764080,-0.545567,0.308619,0.865125,0.785695,0.170193,-0.471639,-0.978885,-0.306784,0.488023,-0.339027,-0.279988,-0.348319,0.771019,0.287118,0.171695,0.982890,0.890082,0.476012,-1.057807,0.168205,0.269417,0.222998,0.668952,0.892445,0.172011,0.564282,0.140193
0.470144,0.428179,0.594465,0.447657,-1.572248,0.764046,-1.017823,0.199837,-0.322066,0.364685,0.161071,0.425711,-0.247048,0.428402,0.407549,2.436572,-0.841454,0.249304,-2.001789,0.287718,0.207300,0.372492,0.216769,0.175666,0.632734,0.184032,0.270313,0.275669,-0.606896,-0.835600,0.939580,-0.642641,0.364230,0.933708,-1.846817,-0.239136,0.274050,0.205777,0.898549,-0.610198,0.414225,-1.397871,0.409737,-0.944614,0.184076,1.295288,0.675434,0.181215,-0.776593,-0.693451,-0.380772,0.355832,-0.342046,-0.927156,-0.757267,0.771019,0.344975,0.369595,0.760214,2.105371,0.335890,-1.541703,0.615739,0.359091,0.200337,0.787284,1.015000,0.162148,0.459934,0.221294
0.371769,0.287354,0.226470,0.533437,-1.325853,-0.183605,-0.530610,0.296782,0.046451,0.218554,0.576002,0.974155,-0.267187,0.510881,0.322172,1.297802,-0.307135,0.017654,-1.686363,0.203028,0.125956,0.292881,0.231004,-0.063159,0.420988,0.028993,0.018668,0.231284,0.050506,0.239508,0.603101,0.653006,0.249147,-0.012464,-1.079151,0.292440,0.028377,0.075467,0.739217,0.047421,0.038676,-0.465120,0.169151,-0.366739,0.048645,1.104440,0.457657,0.004255,-0.460016,0.427624,-0.059435,0.380226,0.090848,0.204305,-0.057528,0.027399,0.117947,0.303113,0.298071,1.186581,0.091048,-0.315659,0.076276,0.250688,0.065648,0.169267,1.015000,0.152177,0.029560,0.138759
0.511825,0.394233,0.673059,0.458569,-1.172912,0.945051,-0.724935,0.790644,-0.509908,0.325463,-0.683454,0.974155,-0.395814,0.435459,0.264633,0.685577,-0.689067,0.128952,-1.283134,0.357215,0.174857,0.193633,0.351630,0.092422,1.012401,0.067842,0.122786,0.677148,-0.041682,-1.241117,0.554391,0.193236,0.341597,0.476637,-0.966473,0.522739,0.409863,0.191564,0.898333,-0.511128,0.471038,-1.187761,0.833680,-0.421429,0.225810,1.265491,0.843385,0.116069,-0.866978,-0.817488,-0.132810,0.850508,-0.339227,-0.255399,-0.301999,0.027691,0.431585,0.303113,0.818092,0.938079,0.128935,-0.186351,0.092371,0.277531,0.141067,0.724757,0.945101,0.143508,0.135879,0.156032
0.486893,0.278395,0.235202,0.499612,-1.111297,0.945051,-0.724935,0.499965,-0.343529,0.238747,-0.683454,0.748671,-0.395814,0.396217,0.200594,0.761014,-0.952215,0.225440,-1.406233,0.292897,0.202409,0.310801,0.213262,0.052343,1.012401,0.144114,0.211491,0.699400,-0.482911,-1.455612,0.272824,0.193236,0.282814,0.476637,-0.607386,-0.244960,0.600126,0.190966,1.005674,-0.511128,0.310351,-1.390642,0.525817,-0.421429,0.204156,0.545862,0.843385,0.149108,-0.866978,-0.817488,-0.261640,0.850508,-0.473754,-0.209879,-0.600644,0.817293,0.331051,0.020670,0.818092,0.841060,0.531655,-0.862008,0.096412,0.200088,0.177826,0.724757,0.945101,0.134566,0.539326,0.168158
0.433152,0.393782,0.666755,0.421410,-1.665784,0.542821,-0.666597,0.197547,-0.253104,0.318571,0.106002,0.757974,-0.181107,0.462139,0.319442,2.403010,-0.796623,0.200596,-1.741216,0.358547,0.175621,0.378686,0.128070,0.417377,0.755795,0.190895,0.294717,0.227507,-0.528771,-0.103730,1.279990,-0.417239,0.334855,0.781349,-1.145369,-0.251948,0.223769,0.204153,0.907795,-0.523175,0.500681,-1.035387,0.456434,-0.826446,0.135165,1.053895,0.701129,0.190225,-0.769325,-1.197394,-0.424412,0.282275,-0.473754,-1.152155,-0.612156,0.677696,0.307178,0.215702,0.889590,1.540128,0.237540,-1.040502,0.705387,0.332820,0.210271,0.702121,0.869525,0.162198,0.367603,0.223010
0.377600,0.254029,0.371668,0.523770,-1.315830,-0.217501,-0.417905,0.349823,0.106225,0.189582,0.706790,0.920393,-0.380193,0.462483,0.245831,1.141668,-0.316193,0.031964,-1.616654,0.308323,0.089251,0.291681,0.150788,-0.027871,0.366426,0.025999,0.045920,0.176086,0.041704,0.339574,0.661166,0.560927,0.209354,0.028877,-1.261750,0.366426,0.017399,0.069628,0.756501,0.020626,0.125252,-0.098515,0.242233,-0.391775,0.039267,0.676167,0.510016,0.011337,-0.347751,0.276813,0.004452,0.480503,-0.005512,0.150146,-0.096450,0.016117,0.140695,0.245425,0.317956,1.295856,0.077923,-0.428010,0.156979,0.217349,0.070157,0.178479,0.851746,0.172973,0.068066,0.154502
0.523105,0.413176,0.563916,0.407778,-1.221698,0.877125,-0.482446,0.734435,-0.096690,0.292919,-0.228519,0.920393,-0.067306,0.378533,0.248940,0.792840,-0.724587,0.132692,-1.382937,0.426613,0.122506,0.196885,0.268504,-0.062015,0.857332,0.063869,0.121763,0.716989,-0.210881,-1.342585,0.425163,0.306148,0.345581,0.532816,-0.829563,0.303155,0.400821,0.113202,0.889545,-0.510984,0.428528,-1.059634,0.950260,-0.429529,0.182675,0.939747,0.885596,0.113688,-0.606806,-0.818236,-0.169933,0.595760,-0.385729,-0.251173,-0.384193,0.060048,0.522987,0.100671,0.977187,0.903661,0.145091,-0.394369,0.156979,0.284579,0.168213,0.725343,0.824112,0.156233,0.134818,0.155975
0.481558,0.340194,0.478002,0.511959,-1.307833,0.877125,-0.482446,0.440749,-0.093682,0.194409,-0.228519,0.657734,-0.260226,0.370724,0.193075,0.834670,-0.919594,0.183755,-1.588880,0.342922,0.184695,0.316988,0.271486,-0.062015,0.857332,0.136247,0.214887,0.683872,-0.430488,-1.452808,0.114990,0.306148,0.291704,0.532816,-1.001280,-0.482006,0.570105,0.128936,0.915660,-0.510984,0.284242,-1.309002,0.494856,-0.429529,0.171545,0.527746,0.885596,0.145716,-0.606806,-0.818236,-0.236731,0.595760,-0.423600,-0.242249,-0.513125,0.596421,0.302107,0.282868,0.977187,1.128244,0.550597,-0.674135,0.123670,0.150913,0.216406,0.725343,0.824112,0.166668,0.534338,0.179237
0.441000,0.428209,0.629920,0.411660,-1.599151,0.811912,-0.722380,0.245185,-0.358795,0.355972,0.024215,0.683740,-0.170802,0.434460,0.368388,2.351225,-0.751343,0.195170,-2.111601,0.347886,0.216483,0.399660,0.216862,0.741734,0.530270,0.213242,0.232268,0.208865,-0.867932,-0.114822,1.297521,-0.379206,0.380192,1.281589,-1.963770,-0.519170,0.248521,0.376221,0.803761,-0.520526,0.459031,-1.130853,0.363854,-0.813767,0.159661,1.289070,0.729744,0.163657,-1.269165,-0.816968,-0.489748,0.847817,-0.433435,-1.243949,-1.117642,0.457705,0.357141,0.282868,0.643079,2.244309,0.252083,-1.235055,0.402159,0.294646,0.207998,0.679307,0.987138,0.172070,0.347955,0.201358
0.381086,0.204722,0.228137,0.499556,-1.405547,-0.170783,-0.596616,0.299868,0.102293,0.166943,0.668336,0.898209,-0.183516,0.479556,0.202283,1.150156,-0.318624,0.024703,-1.558490,0.244354,0.140124,0.293381,0.202239,0.041604,0.363860,0.032238,0.032700,0.184144,0.062290,0.301052,0.626267,0.638778,0.172470,0.018018,-0.917164,0.363860,0.032465,0.110042,0.730380,0.031673,0.066932,-0.261500,0.095008,-0.358963,0.041064,0.882850,0.476756,0.007701,-0.433901,0.334470,0.077889,0.457180,0.022849,0.171948,-0.078376,0.009320,0.151135,0.205173,0.320435,0.946434,0.062482,-0.119084,0.130578,0.270833,0.052073,0.179677,0.740187,0.174461,0.040881,0.138453
0.497417,0.420883,0.614472,0.418231,-1.179393,0.775159,-0.641236,0.719078,-0.313438,0.273561,-0.303501,0.898209,-0.170173,0.377408,0.226912,0.769352,-0.681677,0.105031,-1.424010,0.366692,0.167140,0.205211,0.292765,0.036357,0.923090,0.060970,0.098686,0.554648,-0.141457,-0.884545,0.509039,0.347189,0.348695,0.567845,-1.212866,0.734095,0.362820,0.143951,0.855888,-0.418626,0.392857,-0.945861,0.844669,-0.394309,0.202909,1.075438,0.762526,0.092318,-0.651416,-0.637339,-0.187062,0.759704,-0.304460,-0.208122,-0.304688,0.078096,0.415515,0.203914,0.758259,1.054385,0.647549,-0.088695,0.130578,0.324282,0.135366,0.567682,0.735708,0.146874,0.109229,0.134119
0.431198,0.304107,0.192787,0.470862,-1.249478,0.775159,-0.641236,0.475560,-0.210850,0.209729,-0.303501,0.708888,-0.170173,0.306111,0.133037,0.784845,-0.949672,0.176426,-1.486229,0.344801,0.188642,0.307603,0.290822,-0.037053,0.923090,0.130547,0.212535,0.612698,-0.445980,-1.025912,0.145117,0.347189,0.286043,0.567845,-0.989620,-0.397632,0.534917,0.136254,0.914623,-0.418626,0.220913,-1.053806,0.497055,-0.414532,0.197829,0.342078,0.762526,0.136136,-0.651416,-0.637339,-0.187062,0.759704,-0.411330,-0.208122,-0.463610,0.788369,0.308457,0.130545,0.758259,1.076926,0.564584,-1.255115,0.098232,0.262126,0.173345,0.567682,0.735708,0.140285,0.482346,0.179155
