feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.244469,0.089186,0.570029,0.313893,-1.177883,-0.037728,-0.694671,0.238131,0.084646,0.099246,1.018014,0.701158,0.100052,0.388831,0.147926,0.583480,-0.479467,0.148694,-1.282454,0.154592,0.261211,0.233150,0.158464,0.133342,0.250535,0.085018,0.094684,0.330645,-0.167603,-0.404677,0.607848,0.180855,0.417884,0.418179,-1.109740,-0.176370,0.144077,0.167924,1.256503,-0.084867,0.108132,0.141812,0.310219,0.092941,0.173668,0.625345,0.568465,0.122354,-0.654314,0.177010,-0.301313,0.855041,-0.287067,-0.659091,-0.222045,0.735423,0.224056,0.181918,0.392439,1.166001,0.193117,-0.384252,0.398517,0.081493,0.139390,0.822087,0.503605,0.106889,0.256624,0.161004
0.363116,0.271507,0.575292,0.357072,-1.627715,0.342303,-0.910371,0.522001,-0.433610,0.392527,-0.203869,0.767904,-0.807227,0.456507,0.342373,1.340466,-0.427128,0.186292,-1.618510,0.332618,0.399791,0.230695,0.288115,0.515634,0.290890,0.125955,0.117801,0.133949,-0.633743,0.242942,0.762305,-0.168105,0.331518,2.117508,-1.659688,-0.315323,0.158439,0.227783,0.888790,-0.819935,0.166095,0.103598,0.395667,-0.220368,0.169137,0.424306,0.628072,0.181790,-0.659097,0.061151,-1.054709,0.531742,-0.536441,-1.146971,-0.305388,0.538391,0.155257,0.665324,0.614090,1.797234,0.136703,-0.651892,0.535801,0.280149,0.246316,2.081909,1.064246,0.174036,0.144107,0.189272
0.406385,0.193036,0.689887,0.447361,-1.148987,-0.099540,-0.456241,0.204236,0.054819,0.214051,0.361296,1.056071,-0.277107,0.609564,0.183564,0.664590,-0.282501,0.046413,-1.228643,0.240433,0.528322,0.096362,0.294454,-0.211092,0.080471,0.009300,0.037452,0.118360,0.061970,0.639871,0.941750,0.333746,0.367037,0.028269,-1.032267,-0.026999,0.040450,0.118608,0.567963,0.104588,0.104857,-0.437145,0.296839,0.391975,0.029309,0.424306,0.434251,0.005616,-0.678004,0.437262,-0.185396,0.341377,-0.236624,-0.231461,-0.021225,0.091266,0.285483,0.665324,0.258185,1.100161,0.104082,-0.651892,0.131634,0.096851,0.105150,0.170924,1.064246,0.109305,0.012828,0.163151
0.575652,0.770557,1.412383,0.405412,-1.298632,0.986220,-0.914273,1.185162,-0.704080,0.423340,-2.196481,1.080608,-0.157994,0.637564,0.342491,0.529176,-0.556394,0.160621,-1.793464,0.232534,0.512584,0.325447,0.287215,0.344177,0.492362,0.045550,0.140674,0.483626,-0.366412,-0.771227,1.360263,-0.068565,0.758599,0.166296,-1.650120,-0.002600,0.386154,0.224574,0.550494,-0.833271,0.413254,-1.383256,0.972361,0.068539,0.135859,1.673151,0.923820,0.233871,-0.739355,-0.294904,-0.439559,0.675965,-0.628407,-0.878052,-0.398086,0.140594,0.496927,0.761848,1.836552,1.728727,0.347054,-1.312908,0.131931,0.246558,0.410940,0.729962,0.838036,0.211663,0.174178,0.204853
0.573077,0.486067,0.774143,0.508104,-0.989434,0.986220,-0.914273,1.285517,-0.441594,0.345457,-2.196481,0.876322,-0.645486,0.425474,0.407709,0.387266,-0.898424,0.313220,-2.067956,0.223602,0.546536,0.446935,0.369791,0.344177,0.492362,0.089403,0.155423,0.777872,-0.366412,-1.543465,1.360263,-0.068565,0.384546,0.166296,-1.960435,-0.290063,0.589437,0.230990,1.040044,-0.833271,0.488416,-1.383256,0.855991,0.068539,0.207973,1.673151,0.923820,0.253697,-0.739355,-0.348014,-0.439559,1.080289,-0.628407,-0.878052,-0.398086,0.771903,0.511178,0.761848,1.836552,2.176426,0.333051,-1.312908,0.323993,0.277512,0.425297,0.729962,0.843809,0.236626,0.611959,0.232009
0.534361,0.731560,1.212967,0.489472,-1.762333,0.668126,-1.095386,0.504136,-0.915372,0.526589,-0.436561,0.399711,-0.399428,0.606045,0.321740,1.974017,-0.881143,0.348873,-1.787234,0.285715,0.320172,0.384732,0.331461,0.907319,0.345467,0.214567,0.355670,0.402749,-0.847599,-0.992078,1.123311,-1.187047,0.655447,1.269905,-1.842176,0.026157,0.315839,0.363912,0.966209,-1.193939,0.351347,-1.840519,0.267244,-0.483534,0.275227,0.816923,0.798596,0.400405,-0.968652,-0.627514,-2.497365,0.736480,-1.048001,-1.370972,-0.739203,0.637040,0.583495,0.992790,7.255264,1.997391,0.324568,-1.473464,1.580171,0.434085,0.904668,1.640728,0.713389,0.378005,0.558840,0.407173
0.465133,0.382663,0.559113,0.540357,-1.511016,-0.151418,-0.535123,0.555397,0.242256,0.180210,0.074982,0.961559,-0.354132,0.704535,0.177553,1.171948,-0.287304,0.054620,-1.924071,0.209172,0.731918,0.082736,0.324161,-0.166410,0.133004,0.010350,0.028807,0.232699,-0.138479,0.230808,0.921074,0.244405,0.304616,0.063168,-1.772051,-0.102999,0.033381,0.083966,0.610939,0.098334,0.124501,-1.715145,0.460721,0.280681,0.051754,0.282585,0.636799,0.014078,-0.546979,0.427280,-0.652142,0.676620,-0.204915,-0.133343,-0.032183,0.115910,0.373206,0.440599,0.347481,1.852383,0.123138,-0.115950,0.160575,0.269637,0.184796,0.275887,0.902849,0.147695,0.049046,0.142280
0.587392,0.626144,1.044481,0.443974,-1.296946,1.098322,-0.822515,1.375916,-1.045583,0.469349,-2.101068,0.997755,-0.536083,0.619301,0.211493,0.526852,-0.984146,0.214028,-1.499691,0.203179,0.615813,0.288225,0.437141,0.047511,0.491820,0.069785,0.128965,0.466579,-0.030858,-0.767418,1.071659,-0.178096,0.563195,0.578885,-0.602933,-0.136976,0.434514,0.231412,1.249489,-0.761034,0.330836,-0.846255,1.226821,-0.207985,0.200189,0.439017,0.915278,0.207539,-0.973012,-0.334832,-0.272677,1.130698,-0.704810,-0.813582,-0.193156,0.330630,0.507995,0.469801,1.757440,0.936925,0.444831,-1.021154,0.160575,0.209277,0.352070,1.013329,0.756044,0.186614,0.138851,0.176055
0.560642,0.479421,0.901077,0.520941,-1.131482,1.098322,-0.748341,1.180324,-1.045583,0.421511,-2.101068,0.821156,-0.536083,0.426496,0.209810,0.406767,-1.040447,0.292487,-2.145957,0.175955,0.508054,0.445543,0.339732,0.047511,0.491820,0.129857,0.171665,0.618300,-0.037066,-1.125398,1.071659,-0.178096,0.352531,0.578885,-2.114308,-0.201605,0.680602,0.243394,0.941673,-0.761034,0.388491,-0.846255,0.891173,-0.207985,0.279254,0.369063,0.915278,0.200503,-0.973012,-0.398504,-0.272677,1.130698,-0.704810,-0.813582,-0.242539,0.713533,0.592952,0.386113,1.757440,2.398382,0.400270,-1.021154,0.274433,0.189761,0.365133,1.013329,0.929422,0.197887,0.602855,0.253913
0.550183,0.506870,0.975059,0.498158,-1.707849,0.315765,-0.765999,0.420692,-0.804012,0.560260,0.022433,0.730918,-0.633921,0.470006,0.314187,2.014925,-0.815231,0.255634,-1.683589,0.323152,0.314790,0.418574,0.229703,0.620537,0.516706,0.190851,0.236271,0.323404,-0.431044,-0.564024,0.903143,-0.750600,0.509396,1.085848,-1.202855,-0.514212,0.292552,0.338485,0.724298,-0.515700,0.219947,-0.860733,0.166063,-0.113718,0.290934,0.526316,0.750662,0.262772,-0.749454,-0.066539,-1.805598,0.533793,-0.592346,-1.379674,-0.502841,0.713533,0.343792,0.778568,1.168935,1.544819,0.225010,-0.934445,0.910253,0.303241,0.391881,0.839929,1.227140,0.231710,0.552995,0.328083
