feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.156100,0.045889,1.017156,0.128724,-1.650883,-0.251996,-1.048816,0.522271,-0.026087,0.064959,-0.357424,0.610410,0.010926,0.177823,0.061617,0.624162,-0.408312,0.038456,-1.602741,0.203602,0.215222,0.268018,0.390450,0.206167,0.528596,0.055110,0.039111,0.429353,0.109384,-0.580100,0.511436,0.409705,0.895233,0.115329,-1.333739,-0.108562,0.028791,0.099947,0.548957,-0.019727,0.163634,-0.255795,0.371742,0.316365,0.059693,0.288023,0.377913,0.100495,-0.239006,-0.194449,-0.237035,0.321162,-0.172530,0.080775,-0.082705,0.433160,0.134756,0.786738,-0.038716,1.546741,0.096623,-0.512279,0.279938,0.111243,0.055096,0.313261,0.246389,0.156548,0.176611,0.111991
0.414400,0.255078,0.936368,0.243215,-1.486519,-0.052763,-0.991421,0.329495,-0.484378,0.272895,-0.670574,0.811039,-0.304369,0.169400,0.159881,0.538196,-0.363395,0.099028,-1.099025,0.279540,0.438117,0.230959,0.277212,0.119153,0.891352,0.118984,0.130842,0.059374,-0.204720,0.632459,0.429648,0.009683,0.513671,0.665574,-1.031703,0.367078,0.054526,0.158982,0.604547,-0.227425,0.194431,-0.238910,0.369349,-0.335140,0.148882,0.270979,0.535487,0.097998,-0.391716,-0.277848,-0.410850,0.512815,-0.152659,-0.343880,-0.039960,0.142652,0.279128,0.877877,0.189727,1.125301,0.080027,-0.558386,0.567004,0.485476,0.112775,0.610036,0.350441,0.079698,0.059074,0.091051
0.419370,0.070517,0.869363,0.181023,-1.205296,-0.222921,-0.181394,0.294628,-0.092906,0.119966,0.482893,0.930243,-0.022517,0.208340,0.074988,0.385216,-0.327450,0.030887,-1.102993,0.261087,0.349171,0.222762,0.365612,-0.246154,0.501679,0.087173,0.049264,0.020610,0.168438,0.833990,0.375574,0.342506,0.736435,0.108439,-1.080310,0.490398,0.020302,0.066410,0.483278,0.048301,0.134129,0.030451,0.550824,0.372999,0.033207,0.294655,0.466089,0.015756,-0.518567,-0.092251,-0.176332,0.101956,-0.252633,0.127539,0.069965,0.099103,0.144542,0.109671,0.112448,1.117362,0.037023,-0.269578,0.264462,0.114262,0.059799,0.254145,0.429640,0.045485,0.033957,0.138270
0.466147,0.683867,1.098225,0.301400,-1.351346,0.726900,-1.283712,0.692321,-0.997514,0.356444,-1.555716,0.929473,-0.714606,0.357676,0.419697,0.385087,-0.321189,0.104275,-1.591021,0.350763,0.330730,0.176495,0.418765,0.221858,0.775333,0.081473,0.115542,0.089601,0.034788,0.443940,0.683419,0.124304,0.815312,0.120679,-1.516132,0.391930,0.332725,0.193929,0.580128,-0.681636,0.160922,0.034593,1.114912,0.246702,0.220586,1.016685,0.707414,0.172190,-0.616356,0.145143,-0.449143,0.232600,-0.359246,-0.363430,-0.186993,0.062155,0.100073,-0.033862,0.780946,1.574333,0.139584,-0.335425,0.264462,0.262593,0.124035,0.726150,0.487678,0.092317,0.046568,0.180817
0.530711,0.932667,1.098225,0.290017,-1.390949,0.726900,-1.374213,1.279594,-0.997514,0.354369,-2.134068,0.890947,-0.714606,0.396764,0.423162,0.379831,-0.746676,0.151277,-1.726790,0.365196,0.432422,0.220282,0.343590,0.221858,0.775333,0.104337,0.138494,0.380181,0.034788,-0.565228,0.683419,-0.150299,0.848704,0.432559,-1.635580,0.021495,0.350994,0.229984,0.580128,-0.681636,0.374111,-0.468073,1.596867,0.246702,0.299008,1.016685,0.840358,0.255512,-0.658403,-0.836807,-0.580681,0.528798,-0.438323,-0.588420,-0.186993,0.040646,0.190719,-0.273654,1.189822,1.756158,0.170320,-0.677507,0.264462,0.456016,0.294476,0.726150,0.533839,0.184620,0.129370,0.218481
0.534645,0.879798,1.098225,0.349326,-1.404050,0.726900,-1.374213,1.123095,-0.997514,0.422324,-2.134068,0.884978,-0.714606,0.448771,0.506671,0.348114,-0.784635,0.244862,-1.734769,0.259351,0.618909,0.227940,0.656027,0.221858,0.586258,0.109214,0.161787,0.772789,0.034788,-1.416892,0.683419,-0.150299,0.702665,0.432559,-1.536194,-0.186132,0.504621,0.249373,0.901224,-0.681636,0.481521,-0.531847,1.261195,0.246702,0.348275,1.016685,0.840358,0.255334,-0.658403,-0.836807,-0.580681,0.553554,-0.438323,-0.588420,-0.186993,0.622831,0.314696,0.447010,1.189822,1.738856,0.301748,-0.677507,0.292456,0.488679,0.331671,0.726150,0.533839,0.220706,0.165414,0.237217
0.462585,0.790426,1.098225,0.395565,-1.235685,0.726900,-1.374213,0.923419,-0.997514,0.486423,-2.134068,0.806689,-0.714606,0.437539,0.428476,0.322596,-0.784635,0.343312,-1.797909,0.225936,0.714705,0.291321,0.652839,0.221858,0.586258,0.108159,0.161541,0.902982,0.034788,-1.537806,0.643996,-0.150299,0.596867,0.432559,-1.793771,-0.023809,0.556529,0.236280,0.953072,-0.681636,0.463567,-1.013504,0.940873,0.246702,0.342447,1.016685,0.840358,0.279967,-0.658403,-0.836807,-0.580681,0.553554,-0.438323,-0.588420,-0.186993,0.811043,0.397063,0.447010,1.189822,1.926160,0.301635,-0.874921,0.299089,0.348586,0.345860,0.726150,0.554237,0.246149,0.357496,0.241192
0.521600,0.659553,0.467138,0.342557,-1.295235,0.726900,-1.374213,0.949573,-0.943926,0.335234,-2.134068,0.748200,-0.714606,0.384242,0.248622,0.324555,-0.807567,0.310325,-1.518209,0.237086,0.629160,0.451685,0.483053,0.221858,0.586258,0.111072,0.141950,0.740494,0.011669,-1.537806,0.621587,-0.150299,0.449776,0.432559,-1.149376,-0.008406,0.477363,0.209026,0.953072,-0.681636,0.368480,-1.019959,0.953169,0.375704,0.277654,0.361106,0.840358,0.258885,-0.658403,-0.836807,-0.580681,0.640002,-0.438323,-0.588420,-0.186993,1.068028,0.410698,0.447010,1.189822,1.364314,0.312613,-0.874921,0.299089,0.269020,0.325498,0.726150,0.554237,0.269156,0.565616,0.270624
0.474596,0.424234,1.232275,0.514917,-1.911288,0.406372,-1.305534,0.281996,-1.095600,0.565030,-0.360128,0.140379,-0.417547,0.457302,0.134375,0.854417,-0.807567,0.338624,-1.823484,0.364072,0.464132,0.483620,0.370580,1.158362,1.147835,0.215489,0.166109,0.669747,-0.794345,-1.537806,0.701831,-0.563874,0.445843,1.308959,-1.573035,1.147835,0.273447,0.449555,0.953072,-1.192926,0.496828,-1.432197,0.352116,-0.438127,0.227502,0.066613,0.888118,0.273642,-1.379988,-1.319094,-1.244794,0.643238,-0.918675,-1.207531,-1.596746,1.068028,0.205769,1.139261,1.532596,1.788780,0.319237,-0.874921,0.429128,0.196310,0.299612,1.152929,0.554237,0.276401,0.520924,0.299807
0.488821,0.755519,1.187221,0.550777,-1.976855,0.406372,-1.305534,0.377600,-1.095600,0.618354,-0.360128,0.623094,-0.388884,0.413293,0.223443,1.514301,-0.536257,0.264973,-1.827612,0.582389,0.692948,0.326698,0.499822,1.158362,1.204388,0.257384,0.196716,0.156276,-0.794345,0.032522,0.653505,-0.563874,0.610609,1.308959,-1.607076,0.079134,0.155345,0.478278,0.827454,-1.192926,0.505348,-1.432197,0.607263,-0.438127,0.196332,0.586871,0.888118,0.277283,-1.379988,-1.319094,-1.244794,1.270613,-0.918675,-1.207531,-1.596746,0.379594,0.509729,1.139261,1.532596,1.803005,0.140002,-0.702027,0.429128,0.527291,0.328125,1.152929,0.831517,0.196053,0.185804,0.207494
0.468294,0.338334,0.828920,0.345114,-1.613196,-0.053575,-0.311690,0.383156,-0.777903,0.335637,0.314170,0.864499,-0.388884,0.340807,0.210054,0.595383,-0.323364,0.079640,-1.422192,0.286978,0.716117,0.189217,0.466622,-0.086793,0.979902,0.106294,0.055934,0.210525,0.161175,0.167351,0.674378,0.225838,0.346039,0.145408,-1.425712,0.537999,0.059698,0.107700,0.488162,0.184062,0.305658,-0.379476,0.281119,0.426041,0.027503,0.586871,0.621334,0.013826,-0.461332,-0.394499,-0.231397,0.432701,-0.226530,-0.256738,0.083491,0.081666,0.349983,0.664267,0.133643,1.537709,0.116478,-0.296253,0.330242,0.182173,0.075001,0.284019,0.831517,0.060828,0.059067,0.101033
