feat_187,feat_240,feat_239,feat_227,feat_67,feat_159,feat_233,feat_5,feat_228,feat_230,feat_3,feat_14,feat_248,feat_217,feat_250,feat_73,feat_158,feat_170,feat_107,feat_242,feat_222,feat_197,feat_255,feat_204,feat_244,feat_147,feat_180,feat_15,feat_143,feat_13,feat_219,feat_168,feat_237,feat_149,feat_109,feat_246,feat_160,feat_205,feat_169,feat_138,feat_220,feat_23,feat_10,feat_153,feat_155,feat_249,feat_189,feat_140,feat_203,feat_218,feat_173,feat_214,feat_178,feat_198,feat_148,feat_164,feat_25,feat_254,feat_174,feat_108,feat_195,feat_183,feat_139,feat_235,feat_175,feat_144,feat_229,feat_172,feat_190,feat_177
0.354462,0.176351,0.803463,0.383457,-0.877507,0.184117,-0.486672,0.301910,-0.114912,0.171058,0.230069,0.736265,-1.075187,0.359803,0.742270,1.822719,-0.659808,0.213199,-1.069883,0.191718,0.245700,0.314917,0.223390,0.163383,0.380681,0.199582,0.120814,0.520369,-0.446439,-0.933615,0.027026,0.009508,0.381418,0.848595,-1.247888,0.165577,0.247477,0.207611,0.819319,-0.019128,0.178521,-2.173775,0.373128,-0.981475,0.269979,1.350980,0.651664,0.145981,-0.681535,-0.614386,-0.379592,0.167199,-0.091730,-0.642285,-0.049007,0.950743,0.275399,0.434495,0.450822,1.323828,0.393925,-0.489280,0.483916,0.114559,0.178253,1.236385,0.556461,0.172186,0.387520,0.113984
0.473488,0.409606,0.936620,0.400915,-1.416011,0.274441,-0.405547,0.271130,-0.457492,0.364459,0.045687,0.376172,-1.470028,0.253609,0.685021,2.389453,-0.547732,0.189364,-1.181046,0.157388,0.242789,0.247949,0.244290,0.666830,0.310112,0.137687,0.117730,0.255912,-1.955390,-0.313248,0.484856,-0.217045,0.581226,0.886109,-1.286439,-0.259659,0.148845,0.293833,0.930606,-0.255427,0.265666,-1.583481,0.508349,-1.871631,0.360062,1.637213,0.743663,0.100523,-0.681535,-0.427761,-0.739107,0.209854,-0.201942,-0.380781,-0.049007,0.950743,0.285812,0.638719,0.430960,1.318804,0.108572,-0.718732,0.354076,0.340958,0.190255,0.438382,0.773245,0.166294,0.288097,0.072064
0.396842,0.296292,0.620788,0.573530,-1.189551,-0.244988,-0.419988,0.192047,-0.332688,0.399281,0.564272,1.050790,-1.212879,0.564260,0.562201,2.036025,-0.334149,0.027844,-0.865836,0.153911,0.335073,0.085719,0.626725,0.429731,0.308268,0.167798,0.030529,0.484659,-0.416314,-0.313248,0.888286,0.452483,0.318601,0.190828,-0.964314,0.041012,0.025743,0.244853,0.687590,0.168640,0.131896,-1.504956,0.207926,-0.243402,0.080918,1.637213,0.617310,0.009407,-0.427501,0.313628,-0.288900,0.311208,-0.074903,-0.256993,0.150199,0.547394,0.193483,0.638719,0.307878,1.198894,0.109596,-0.074453,0.262901,0.340945,0.117710,0.032557,1.081783,0.097900,0.090892,0.024789
0.521061,0.600426,1.308414,0.627440,-0.982039,1.015638,-0.833344,0.729241,-1.145517,0.648287,-0.871976,1.061559,-1.150881,0.620346,0.591307,1.742434,-0.652478,0.316437,-1.504051,0.269210,0.394795,0.316712,0.520795,0.631620,0.790686,0.266773,0.197114,0.483591,-2.628997,-0.882089,0.888286,-0.688627,0.508342,1.081519,-1.663013,0.366615,0.383389,0.215342,0.698965,-0.676902,0.665285,-2.379814,0.747759,-0.892669,0.364510,1.953245,1.000860,0.227614,-0.392676,-1.301512,-0.313373,0.592507,-0.468325,-0.923281,0.121986,2.337778,0.408913,0.660286,1.200007,1.634647,0.275873,0.074394,0.290581,0.310421,0.301807,1.943061,1.081783,0.168858,0.182327,0.112878
0.617515,0.536999,1.308414,0.668090,-0.886578,1.015638,-0.833344,0.649484,-1.145517,0.694001,-0.871976,1.032805,-1.152422,0.693556,0.642202,1.771510,-0.958080,0.403747,-1.570422,0.277797,0.300339,0.606163,0.510689,0.631620,0.786202,0.246200,0.258709,0.902409,-2.628997,-1.576953,0.371401,-0.688627,0.357506,1.081519,-1.657220,0.151823,0.603636,0.171769,1.030486,-0.676902,0.454782,-2.379814,0.598558,-0.892669,0.391084,1.712802,1.000860,0.257381,-0.314674,-1.318673,-0.520597,0.592507,-0.539704,-0.923281,-0.062477,2.337778,0.681880,1.233315,1.200007,1.652269,0.504257,-0.363436,0.331985,0.275751,0.366575,1.943061,1.368140,0.270575,0.658770,0.190206
0.644934,0.586585,1.566241,0.646633,-1.387690,0.520848,-0.671921,0.295110,-0.913777,0.693266,0.009933,0.207112,-1.391986,0.472076,0.684398,2.333883,-0.918587,0.397506,-1.530127,0.216224,0.370263,0.526853,0.357822,0.773634,0.257265,0.249755,0.575968,0.339478,-2.231492,-1.262931,1.013114,-2.047340,0.499512,1.604373,-1.621044,-0.036962,0.301858,0.292174,0.953732,-1.077097,0.506396,-1.625235,0.362227,-0.832694,0.286787,1.634512,0.900115,0.410035,-1.339567,-0.826847,-1.290186,0.531330,-0.812388,-2.312501,-0.565078,1.196007,0.367858,1.112652,2.789534,1.683861,0.281495,-1.477903,2.486524,0.410027,0.523315,2.295366,1.368140,0.358658,0.661174,0.387358
0.464304,0.323239,0.624293,0.681335,-1.166815,-0.202925,-0.376306,0.250023,-0.896235,0.510534,0.289705,1.089252,-0.582377,0.678129,0.665866,1.995916,-0.334253,0.101985,-0.909816,0.133911,0.299062,0.080707,0.461789,0.718209,0.300288,0.178023,0.060443,0.523748,-1.515523,-0.328701,1.354526,0.389844,0.220147,0.314122,-1.054713,0.144814,0.035396,0.302994,0.953732,0.053334,0.247555,-1.232824,0.378376,-0.494323,0.097960,1.942599,0.819860,0.029729,-0.487766,0.211667,-1.290186,0.314979,-0.224077,-0.076641,0.125835,0.454112,0.202218,1.002272,0.587669,1.274640,0.093058,-0.394989,0.270555,0.344480,0.285032,0.438611,1.197176,0.170411,0.136860,0.042951
0.554806,0.642097,1.754698,0.609729,-0.903755,1.040746,-0.827791,0.963043,-1.141880,0.639328,-1.449003,1.089252,-2.054929,0.672781,0.840255,1.721072,-0.814430,0.290083,-1.453934,0.260676,0.351406,0.270090,0.282089,0.882334,0.932245,0.268575,0.204603,0.488811,-1.917834,-0.800758,1.354526,-0.619877,0.500317,1.153896,-1.570377,0.097190,0.422976,0.270884,0.834903,-0.678929,0.727540,-1.822536,0.993782,-1.618399,0.635749,1.942599,1.027441,0.240855,-0.487766,-1.189474,-0.516729,0.638560,-0.540836,-1.040999,-0.374482,2.368243,0.510378,0.517005,1.375625,1.507711,0.306022,-0.100831,0.436482,0.305980,0.330663,2.781854,1.197176,0.200058,0.188739,0.133907
0.615812,0.536419,1.754698,0.604085,-0.835109,1.040746,-0.827791,0.706917,-1.141880,0.553239,-1.449003,0.911397,-2.054929,0.698174,0.616828,1.751641,-1.007043,0.359429,-1.540334,0.324341,0.377996,0.533374,0.426105,0.882334,0.932245,0.241771,0.247730,0.732429,-1.917834,-1.226009,0.432383,-0.619877,0.390825,1.153896,-1.668975,-0.206778,0.657646,0.237144,1.073151,-0.678929,0.425996,-1.822536,0.507694,-1.618399,0.660574,1.580744,1.027441,0.238103,-0.347619,-1.189474,-0.516729,0.638560,-0.540836,-1.040999,-0.374482,2.368243,0.764631,0.913961,1.375625,1.614215,0.636608,-0.304477,0.436482,0.290124,0.390591,2.781854,1.037956,0.298017,0.653598,0.196051
0.646551,0.564885,1.325641,0.449706,-1.467587,0.621062,-0.451133,0.366451,-0.626221,0.488210,-0.115322,0.583477,-1.143076,0.369450,0.471514,2.556823,-0.850621,0.287417,-1.463995,0.275656,0.326575,0.365052,0.297147,0.490380,0.232877,0.244548,0.260801,0.418818,-1.929009,-0.821104,0.942090,-0.839569,0.549861,1.484346,-1.602452,-0.070889,0.310300,0.227445,1.010372,-0.648884,0.398075,-1.833757,0.538264,-0.864325,0.252304,0.903052,0.976887,0.269213,-0.506624,-0.597531,-0.891868,0.322350,-0.480091,-0.508625,-0.402091,0.783256,0.539495,1.074785,1.803862,1.618558,0.269853,-0.695446,0.952986,0.346096,0.384648,1.074258,0.973429,0.281088,0.627493,0.218942
